,sentence,intent
1240,know chant puto means fined three times means acceptable bullies one done one player done culture countri,Hate
1241,daveb boring man ever graced simb thank fuck run bor,No Hate
1242,see said travis ellen one hating ass bitch,Hate
1243,see said travis ellen one hating ass bitch,Hate
1244,day free dead ass serious call talking come get cause imma block yo ass,No Hate
1245,day free dead ass serious call talking come get cause imma block yo ass,No Hate
1246,im fucking sad also gif art,No Hate
1247,piece shit,Hate
1248,seriously guess comedy easier get viral tried drawing shit xd,No Hate
1249,stage pain ass terrorist hunt lov,No Hate
1250,sure woke wanting fuck chuds might antifa super soldier serum something idk,No Hate
1251,amazing consistently manage piss progressives conservatives arrogantly misguided often seg,No Hate
1252,fuckin great brother laughed like little girl grab balls stay trad,No Hate
1253,communists liberals get bullet wow fuck communists excluding instead unifi,Hate
1254,everyone ragging ass puerto rico mayor put stop work done back,No Hate
1255,think trying funny dog whistle prohibitionists either way total fucking disgrace belittles cannabis use wank,No Hate
1256,hell fuckin yea,No Hate
1257,hell fuckin yea,No Hate
1258,xtc going help sleep hahahah help feel better rockstar shitting us mean sleeping pil,No Hate
1259,sex symbol rap lmaooo bitch youre fat fuck anyways tryna fight,Hate
1260,sex symbol rap lmaooo bitch youre fat fuck anyways tryna fight,Hate
1261,talks shit buff chicken dip dude buff chicken dip,No Hate
1262,whoaaa amazing wanna see also kinky lil slut ili,Hate
1263,eat weird shit crossed lin,No Hate
1264,fuck cunt try size url,Hate
1265,fuck cunt try size url,Hate
1266,anime gag series manga bloody fuck,No Hate
1267,fucking good,No Hate
1268,huge fuck part,No Hate
1269,log doesnt give shit bet eats nachos middle night underwear,No Hate
1270,thank random internet person next time want shit squeeze head,Hate
1271,fear tactics make people attack bullshit,Hate
1272,fuck xenoblade chronicl,Hate
1273,fuck im wir,No Hate
1274,shut ass,Hate
1275,perfect description antifa fascist shit bag,Hate
1276,wrongfully characterizing fucking truth guys ignorant se,No Hate
1277,better monday hell slow walk dictate term,No Hate
1278,makes dope ass songs singer writer url,No Hate
1279,bitch meant didnt know zoomed bitch fun,Hate
1280,bitch meant didnt know zoomed bitch fun,Hate
1281,nigga say bo best cod url,No Hate
1282,question hows gun control laws ass work,No Hate
1283,zac goldsmith faux conservative party use faux conservative party use khan defence organiser conservatives fucking useless ask deliberate share labour,No Hate
1284,yo let post link fam offend little salty spittoon literally allow porn allow federal shit url,Hate
1285,call game bullshit,No Hate
1286,oh fucking love latex hmu ifu got q ive using year,No Hate
1287,bullshit people died incompetent puerto rican government officials already exposed dumb ass good tri,Hate
1288,bullshit people died incompetent puerto rican government officials already exposed dumb ass good tri,Hate
1289,damn straight nothing good vibes coming novemb,No Hate
1290,shaq silver back looking ass,No Hate
1291,nah coz cunt block,Hate
1292,omg even interested age damn fine af,No Hate
1293,oh shit joking wtf,No Hate
1294,head fuckin egg,No Hate
1295,pussi,Hate
1296,nina one reasons read book long worried character trusted everyone nina goddamn goddess would die thousand times big bold lovely perfect arc perfect,No Hate
1297,fucking readi,No Hate
1298,watch watch watching september th stories came together stood shoulder shoulder made proud even issues yet people playing damn game cannot stand momen,No Hate
1299,fucking way said,No Hate
1300,modelling plenty women make shit tons money looking good,Hate
1301,shouldve played saint marie instead london docks saint ass,No Hate
1302,skip realize saying become professional tweeter kind shitting sports casters many td receptions skip year,Hate
1303,words im speaking behalf sit idly people make ass feel like people bett,Hate
1304,fucking tim,No Hate
1305,get hell country u hate u trashed amp weaponized govt yrs destroy us amp quit telling kids hate best county disgrac,Hate
1306,best part read exchange thread year later dude comes back blm antifa caused nazis bullshit lmao best mean saddest,Hate
1307,th duet cutiee angel damn awesomee expressions killing love nly u love u cutiee doll url,No Hate
1308,jonah hill ratted sorry ass wdym,No Hate
1309,course self defense well known standing someone else ground rule one armed one entering property one starting interaction actual fuck self defense seriously dud,No Hate
1310,trying sell stuff worry everything going shit politically must liber,No Hate
1311,chuck think juanita broderick credible keith ellison girlfriend domestic abuse credible truth chuck shit stirrer cause case ruin mans impeccable career embarrass wife amp daughters sl,Hate
1312,motherfucker common sense websit,No Hate
1313,exactly ford damn pawn baby adults america aka democrats conservatives control highest court year,No Hate
1314,bullshit rich liberals say,Hate
1315,dead ass serious smdh,No Hate
1316,boner lived real world year,No Hate
1317,bullshit,Hate
1318,cum,Hate
1319,watching ever soccer anyone damn soccer game tn looked like winner usa beat mexico k attended think soccer overcome football futur,No Hate
1320,expect mob pussy hats shouting believe unison based general distrust conserv,Hate
1321,boy sleeeeeeepppp ass ret pansy bailey tonight,No Hate
1322,nigga thought gone point game funny ya boy,No Hate
1323,oh shit sjsnsn work every day since messaged u sorry make tuesday,No Hate
1324,yet evidence turned party business party fuck business bizarr,No Hate
1325,hell,No Hate
1326,capital fucking hill like know want intimidate family back media antifa drag,No Hate
1327,ya played beta last night fan since bad company mind u shit fucking awful gunplay fine graphics themself spooky hell bright makes naus,No Hate
1328,ya played beta last night fan since bad company mind u shit fucking awful gunplay fine graphics themself spooky hell bright makes naus,No Hate
1329,ya played beta last night fan since bad company mind u shit fucking awful gunplay fine graphics themself spooky hell bright makes naus,No Hate
1330,whenever see get vote makes think liberals trying rally voters historically much lower turnout numbers ers see asians think hell ju,No Hate
1331,fuck give guy many chances matter tal,No Hate
1332,comments pity obviously mentally well piss extent poc would concerned mental wel,No Hate
1333,haha great ending modern embarrassing movement since nu metal late kids look back way ex limp biscuit fans say fuck think,No Hate
1334,mark judge kavanaugh bro liberals trying take fun away brent musburger call hot girl hot obama wants outlaw guns children children children one belch fucking children url,No Hate
1335,mbappe bang average would shit bricks pl glad league absolute jok,No Hate
1336,shit jamming ju,No Hate
1337,ol bob sez white existence crime alrighty another country scratch tourist destination list south africa join cuba venezuela entire european union liking poland everyday even ru,No Hate
1338,believe great finding hard actually work team cheat get away terrible place find asshole america,Hate
1339,hell,No Hate
1340,damn right url url,No Hate
1341,screams releases gallons cum enough pressure make least gallons squirt big brother mouth,No Hate
1342,kidding pissed sorry excuse human,No Hate
1343,talks idea anonymous turns general bla bla bla comes buddies making profit apply claims fought antifa yet supp,No Hate
1344,hell,No Hate
1345,scary hell that,No Hate
1346,desecrating graves best intentions wonder jeremy wants speaking wants jewish membership know exactly thinks reiterate absolute shit human offen,No Hate
1347,nigga really back dying hair times one comeback,No Hate
1348,possive dumb ass,Hate
1349,url let give something wife p cum join live x,No Hate
1350,started money realized future dreams business could come true seeing ass short list,No Hate
1351,haley thanx know brighten shitty day,No Hate
1352,also flat stop showing set freddie mercury biopic shit kill career getting another gig,No Hate
1353,never trusted ass,No Hate
1354,bono asshol,Hate
1355,lake show fuck corey harri,Hate
1356,issss nigga fall asleep soft,No Hate
1357,hell would want gun control think trump tyr,No Hate
1358,pssst bono ass,No Hate
1359,hell ya,No Hate
1360,nigga say stretch big,No Hate
1361,constituents voted liberal fuck url,Hate
1362,gay oh well havin mfs hot lol like play,No Hate
1363,bullshit,Hate
1364,get job health care better yet get lazy ass look better insur,Hate
1365,economy booming gas mof high nd question cult making cars go half far gas doubling cost fill tank make fucking sense url,No Hate
1366,ask black panthers whent well thrill milford act ask first gun control listed niggers could touch guns penalty death also glad see gun control never reduction viol,No Hate
1367,happy dad dad kind cancer stage diagnosed passed away passed january mom kicking leukemia ass since nov awesom,No Hate
1368,pg pure shot creator need speedboost game half decent thrive shot creators known draining greening contested shit yw,No Hate
1369,nonsense ford campaign damn fine job good see politician keep promises push things thru get done conservative party plenty depth representing ontarians quit,No Hate
